"Data Source","World Development Indicators",

"Last Updated Date","2022-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Azerbaijan","AZE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76760","85780","62020","70160","63630","61580","56940","57030","57850","58180","60260","60620","61530","59240","60530","64520","67560","66220","73800","74710","78990","82310","83480","83030","83210","82030","81890","80520","80260","","","",
"Burundi","BDI","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2940","3040","3080","3100","3040","3140","3120","3150","3160","3100","3050","3000","2960","2920","2950","2980","3130","3200","3330","3490","3810","4010","4070","4430","4370","4350","4750","5390","5520","","","",
"Belgium","BEL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130730","135670","133750","131580","136940","137110","142470","139270","142050","138190","138310","138690","131410","134790","133360","129500","126520","121860","124200","117130","124460","112180","111590","112860","106460","111520","110360","108250","108750","","","",
"Benin","BEN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4760","4890","5010","5120","5410","5270","6510","6910","7230","7220","7790","7320","8240","8250","8360","9430","10270","11140","10960","11640","12270","12480","12500","13200","13790","14430","16100","16270","17380","","","",
"Burkina Faso","BFA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12510","12950","13260","13520","13980","14370","14400","15010","15160","15500","16620","15810","16550","20030","20630","21300","21350","22100","22940","23640","24810","25250","25970","26990","27490","28240","29650","30560","30850","","","",
"Bangladesh","BGD","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92360","92540","94440","95650","98090","103120","103650","105940","105870","109910","112250","116870","120430","122030","123760","128390","133590","136520","144740","148380","155970","161700","165250","168630","173510","182600","183500","192420","198970","","","",
"Bulgaria","BGR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98340","81120","75250","73770","69880","71100","71630","69110","65260","58330","57700","60160","57510","62300","60990","60950","61030","65210","62760","55350","57040","62840","57150","52060","54660","57310","54270","56450","53330","","","",
"Bahrain","BHR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14060","13760","15780","16680","17130","17960","19340","20330","22170","22860","24030","24850","26020","27070","27370","30460","32890","34030","36430","37020","38920","39660","40880","43760","45900","46950","47160","47940","48950","","","",
"Bahamas, The","BHS","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1990","2090","2750","2320","2260","2310","2210","2010","2520","2480","2390","2390","2540","2520","2470","2320","2320","2380","2440","6350","2410","2770","3990","3480","2980","2740","2570","2540","2640","","","",
"Bosnia and Herzegovina","BIH","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30140","27600","20070","16620","6300","6210","7300","12210","14990","15020","18670","18450","18590","19070","20140","20820","22680","23820","25710","25950","25960","29040","27260","27050","24470","24640","27200","27460","27190","","","",
"Belarus","BLR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137460","132400","118440","105660","92630","84520","85230","85610","83650","81180","78600","77740","76510","77620","81500","82280","85450","84270","88530","85720","90310","87380","88970","89610","88890","84480","83590","85200","88140","","","",
"Belize","BLZ","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6560","6780","7000","7060","7170","6090","4920","3970","2920","1830","800","900","990","1060","870","930","1020","1110","1120","2170","1300","1420","1450","1360","1310","1480","1510","1530","1560","","","",
"Bermuda","BMU","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
