"Data Source","World Development Indicators",

"Last Updated Date","2022-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Europe & Central Asia (excluding high income)","ECA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","3770265.5753","3787509.09572","4040208.8315","4146025.6163","4277845.05335","4460961.47475","4655569.4267","4742228.90632","4852966.21355","4926480.57995","5003622.60945","5000510.12342","5045073.91802","5085171.52425","5135358.15812","5199955.4463","5329275.36802","5414002.03162","5553266.57192","5564749.73152","5830400","5604020","5144820","4741840","4254240","4113570","3992170","3814880","3757680","3743020","3836410","3855840","3912270","4060870","4109400","4124030","4288250","4350670","4429090","4129690","4316660","4506620","4515530","4464930","4389600","4308420","4362740","4422160","4472930","","","",
"Europe & Central Asia","ECS","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","9050460.7336681","9101331.92898","9497811.58800999","9876616.1076","9936637.46466","9990060.03061","10448403.81094","10543517.71111","10785290.46998","11058145.23097","10961774.78297","10771439.8300594","10676427.8517403","10692610.0898986","10760570.2876465","10878536.905961","11048534.863745","11137126.08167","11290181.141731","11306247.066262","10899540","10670620","10072830","9591480","9084800","8978900","8983130","8721470","8644830","8555200","8639930","8708600","8731890","8968080","9013880","8991770","9147060","9156100","9127610","8520850","8807230","8826700","8804070","8673230","8405960","8360550","8398580","8450300","8425290","","","",
"Ecuador","ECU","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33820","34670","36930","36690","38300","41420","44800","46850","45770","43140","42360","46750","47130","47710","50290","51790","54280","54400","55700","59010","61800","62780","63970","66980","67820","66420","65010","64060","65680","","","",
"Egypt, Arab Rep.","EGY","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129840","135480","140590","142860","138540","147520","154940","164360","171180","180010","181320","193700","198580","202880","216080","234070","244690","259780","268900","274960","276450","283190","293980","291230","297280","306350","315780","320370","329220","","","",
"Euro area","EMU","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","3346873.68356","3387770.01924","3513379.21311","3702778.33862","3674724.03627","3522917.78106","3725069.16331","3688109.70568","3797905.35073","3936023.7295","3862983.55885","3740695.61634","3623468.37306","3605770.56926","3642623.19439","3648259.46763","3653187.9615","3661293.80306","3702785.53208","3760737.8181","3332670","3336500","3247540","3188640","3186100","3234160","3300930","3266970","3287350","3259040","3268620","3302600","3302340","3352810","3357930","3337720","3310230","3278370","3209560","2997950","3052450","2947750","2918990","2871140","2745520","2789940","2781400","2776940","2716570","","","",
"Eritrea","ERI","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3690","4220","5260","5360","6060","6670","7180","7650","7660","7800","7870","7450","7240","7240","7160","7020","6880","7310","7350","7490","7500","7620","7530","7420","7300","7140","7250","7340","7480","","","",
"Spain","ESP","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275270","281450","291280","276490","289430","303340","296730","318090","327700","352530","369840","367810","384510","393610","409760","424480","418340","434660","401450","364620","349440","348820","342540","316480","314950","325510","315830","332170","326940","","","",
"Estonia","EST","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39150","35370","27590","21790","20910","19170","20040","19620","19030","17930","17530","17980","17550","19480","19620","19770","18530","22540","21000","17590","21560","20690","19460","21870","20540","18110","18280","18920","18610","","","",
"Ethiopia","ETH","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66410","68180","70720","66210","68610","70740","74930","78020","84790","85290","83310","87340","96880","95260","97630","101160","106550","116900","121860","126670","131440","133090","140650","147510","155660","161090","167190","170620","172230","","","",
"European Union","EUU","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","4595428.71056","4633749.24994","4796545.01171","5035955.06772","5014162.35017","4922983.11326","5184058.94701","5193346.71638","5348747.65163","5508796.8997","5406309.43825","5240913.3054","5125474.15424","5113291.17274","5150577.34919","5165147.77275","5188641.0706","5187987.33322","5217133.67534","5220880.28814","4555240","4478170","4334100","4260980","4244400","4294780","4402290","4324350","4283800","4210420","4209000","4254870","4235730","4323490","4320120","4288290","4283280","4247200","4155670","3881360","3960810","3849510","3788200","3711450","3565620","3621560","3622340","3635650","3567090","","","",
"Fragile and conflict affected situations","FCS","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","3122982.12483649","2177276.86704349","2370484.78643017","2723182.48621761","2188559.51138206","2367897.451799","2285344.5038881","2706364.80461094","2875358.37823401","3267554.73418629","3214408.413066","2809388.24666666","3101501.72795527","3666102.96450066","2816532.69042195","2700283.27050244","2778328.43821157","3435388.53961224","2798172.65824907","2725066.88133584","1218750","1236210","1253490","1297300","1386330","1407880","1440310","1474470","1463880","1450720","1485280","1515580","1560400","1582010","1619290","1717380","1721770","1751780","1817190","1844030","1917980","1934470","2008160","2048190","2088180","2063350","2100530","2129790","2178820","","","",
"Finland","FIN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69400","69300","66200","67440","74040","70050","76490","74530","70860","69990","68450","74230","76550","84650","80590","68380","79710","77860","69730","66060","74120","66100","60380","61120","57000","53550","56260","53320","54490","","","",
"Fiji","FJI","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1820","1830","1880","1940","1990","2050","2110","2090","2050","2040","2070","2340","2180","2290","2720","2520","2600","2500","2210","2180","2370","2370","2350","2510","2740","2370","2610","2730","2820","","","",
"France","FRA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","502750","527540","512800","494010","488270","497010","515770","505840","521880","511480","508560","513380","505830","510700","508440","509070","498790","491620","485350","467050","470790","453510","456320","457250","424130","430140","430020","432380","423350","","","",
"Faroe Islands","FRO","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","110","120","130","190","190","190","200","200","200","220","210","230","230","230","210","210","190","210","190","200","210","220","220","230","260","260","270","","","",
"Gabon","GAB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7440","7610","7820","7860","7540","7420","7150","7020","6840","6470","6030","5960","5780","5900","6050","6210","5750","5810","6030","6030","6700","7750","8030","8040","7860","7970","8360","7530","7460","","","",
"United Kingdom","GBR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","757350","772600","750470","733570","722700","713510","733630","712030","708380","682210","684830","695590","677780","685430","680780","674860","671960","656480","636520","581690","594560","551940","573410","554670","513800","497740","475240","461190","452080","","","",
"Georgia","GEO","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52150","42020","33830","27560","20220","16770","15140","14440","13940","13640","14020","11560","11010","11550","11640","12270","12630","13390","12510","13260","12980","14380","15260","16040","16630","16970","17390","17190","16900","","","",
"Ghana","GHA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12810","13080","13800","14300","14780","15340","16330","17350","20030","19670","20390","20390","21820","22530","21470","23900","25180","25680","25640","27080","29080","32400","35340","38240","38820","41450","41280","42920","44500","","","",
"Gibraltar","GIB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10050","10370","10700","11070","11490","11910","11380","11700","12710","12490","13180","14110","15270","15420","15470","16920","17230","17650","18240","18760","21070","22550","24010","24270","24990","25680","28610","28810","28890","","","",
"Gambia, The","GMB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4410","4570","4680","4800","4340","3880","3610","3280","3040","2730","2470","2260","2050","1960","1870","1740","1860","1930","2110","2490","2560","2260","2360","2440","2590","2620","2660","2700","2790","","","",
"Guinea-Bissau","GNB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1580","1590","1630","1660","1680","1720","1650","1640","1620","1760","1730","2020","2070","2120","2040","1990","2160","2190","2110","2240","2340","2340","2530","2500","2500","2620","2650","2740","2800","","","",
"Equatorial Guinea","GNQ","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210","260","320","1290","1350","1400","3420","5050","6540","8260","10300","12580","15770","18800","22790","25520","26360","24520","25710","26160","25790","25530","25380","24270","22560","21160","19140","18700","19270","","","",
"Greece","GRC","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95350","95450","97530","97900","100530","104930","105990","107090","111150","112280","117920","118510","118890","122210","121820","123910","122290","125630","121790","114900","108190","105760","100600","92970","89910","88180","86900","86510","84750","","","",
"Grenada","GRD","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1840","1860","1920","1910","1930","1960","1990","2020","2060","2070","2070","2100","2130","2150","2140","2160","2190","2210","2240","2770","2260","2270","2410","2320","2260","2290","2310","2330","2360","","","",
"Greenland","GRL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12190","12650","13930","14690","15010","16110","16140","16890","18840","19390","20920","21690","22610","22890","23350","24710","24770","26220","25060","26400","26450","27070","27780","28900","30120","32990","34310","33570","35400","","","",
"Guam","GUM","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2580","2810","2800","2930","3230","3630","3690","3910","3840","3970","3640","3690","3580","3800","3830","3480","3300","3610","3760","3780","4010","4100","4360","4520","4730","4830","4720","4830","5040","","","",
"High income","HIC","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","12939148.647868","13078210.6389292","13616801.6566418","14287617.9491104","14098017.4395403","13708490.1987509","14488215.5760548","14742680.0271849","14852726.9996727","15336227.3689279","15024491.8564038","14654668.9634413","14084936.556133","14039459.7370706","14345577.0937831","14292006.3036229","14287530.9136659","14291910.7764045","14983489.3259515","15289250.1277218","14160640","14197080","14209030","14291280","14511310","14704830","15091750","15305430","15277090","15330700","15617400","15652670","15534800","15665550","15857270","15854300","15828870","16001170","15693610","14924080","15434780","15287650","15138710","15164560","15013220","14971270","14848520","14841780","14899650","","","",
"Hong Kong SAR, China","HKG","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11900","12040","12380","12200","12910","13700","13290","13220","13440","12870","13180","14090","14490","16320","17140","17100","18070","18750","18770","18710","18890","19920","20300","20880","21120","21560","21500","21300","22400","","","",
"Heavily indebted poor countries (HIPC)","HPC","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","2900772.18536367","1986040.67523067","2088935.67788667","2192326.25794167","1921886.39997833","2182868.817242","2069491.88148767","2298680.78177933","2328495.34035133","2853087.700303","2671485.777964","2350935.353116","2633295.862906","2606610.94935","2211369.304675","2186661.01306333","2120017.88808433","2624040.26542933","2087448.533084","2282973.65775867","618150","633860","650110","665500","743310","755620","761000","775270","808300","812210","821260","820650","863390","900710","912980","956580","966170","1002760","1036340","1054900","1102370","1142330","1193890","1242730","1287320","1340890","1384290","1400670","1427120","","","",
"Croatia","HRV","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28690","22180","23210","24090","24180","25460","24800","26280","26580","26260","25330","26130","27130","28230","28000","27890","28620","30120","29300","26740","26180","25890","23950","22830","22100","22690","22730","23400","22550","","","",
"Haiti","HTI","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5060","5280","5690","5330","4830","5620","5900","6300","6440","6580","7050","7220","7510","7550","7420","7510","7560","7970","7990","8040","8570","8970","8710","9000","9360","9680","9890","9900","9930","","","",
"Hungary","HUN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89120","84090","74150","74690","74350","72650","74920","73270","73140","73870","71050","73240","71420","74340","73210","72300","71520","69350","67960","62110","62090","61350","57470","55130","55400","58330","58960","60880","60920","","","",
"IBRD only","IBD","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","10632087.249465","10199440.582467","11316279.768059","11176936.792081","11359490.852144","12035367.4217","12814677.004224","13280290.641774","13576301.418337","14101914.402047","14326962.699843","14071910.599843","16271145.071005","15240439.58063","14502996.216093","14738956.563821","15610380.194891","16755356.819777","16200040.282272","16520907.572148","14447470","14544420","14388870","14361620","14267870","14747180","14903470","14992370","15119550","15178100","15598650","15988430","16508520","17510140","18650480","19659520","20739850","21797030","22436480","22910900","24314520","25612840","26265630","26829890","27090890","27068200","27222310","27745020","28366540","","","",
"IDA & IBRD total","IBT","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","14541370.3050121","13010949.7682329","14351285.8417661","14604418.5861914","14175749.8366844","15047932.056296","15701933.790983","16684954.1319613","17128145.8347294","18113767.221014","18275901.08005","17567354.6250327","20128940.6399483","19667745.1640157","18001670.6436029","18099971.8369834","19040253.2684406","20943398.9190462","19672251.7710301","19953475.5760868","16037780","16167460","16038930","16064100","16033210","16538090","16721720","16824890","17002320","17095560","17549070","17964820","18548890","19612240","20802030","21901220","23042450","24184210","24884550","25355910","26836730","28208270","28909410","29542690","29874230","29916640","30173010","30772000","31474040","","","",
"IDA total","IDA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","3909283.05554709","2811509.18576589","3035006.07370707","3427481.79411041","2816258.98454036","3012564.634596","2887256.786759","3404663.49018734","3551844.41639241","4011852.81896699","3948938.380207","3495444.02518966","3857795.56894327","4427305.58338566","3498674.42750995","3361015.27316244","3429873.07354957","4188042.09926924","3472211.48875807","3432568.00393884","1590310","1623040","1650060","1702480","1765340","1790910","1818250","1832520","1882770","1917460","1950420","1976390","2040370","2102100","2151550","2241700","2302600","2387180","2448070","2445010","2522210","2595430","2643780","2712800","2783340","2848440","2950700","3026980","3107500","","","",
"IDA blend","IDB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","434268.837142","421624.835144","455912.665103","482297.383252","487940.61677","450797.808207","474122.695025","500915.572899","494535.057211","564501.797668","561854.181765","526877.757105","607453.020087","577581.567044","563605.60278","572675.437622","596158.027832","631934.916055","611538.047049","645497.19861","665550","681530","694590","737760","777860","776040","786430","780950","789950","806690","823070","843980","858040","870420","897560","924690","962080","993840","1008440","979450","1005440","1041260","1037850","1068870","1089110","1102750","1147290","1180180","1223330","","","",
"Indonesia","IDN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","506470","523800","544380","560640","577260","608290","622660","641020","647210","663050","667880","681310","682150","703480","708910","703250","718590","731410","725820","744030","762400","822480","827220","796880","845070","852000","866360","912420","969580","","","",
"IDA only","IDX","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","3475014.21840509","2389884.35062189","2579093.40860407","2945184.41085841","2328318.36777036","2561766.826389","2413134.091734","2903747.91728834","3057309.35918141","3447351.02129899","3387084.198442","2968566.26808466","3250342.54885627","3849724.01634166","2935068.82472995","2788339.83554044","2833715.04571757","3556107.18321424","2860673.44170907","2787070.80532884","924760","941510","955470","964720","987480","1014870","1031820","1051570","1092820","1110770","1127350","1132410","1182330","1231680","1253990","1317010","1340520","1393340","1439630","1465560","1516770","1554170","1605930","1643930","1694230","1745690","1803410","1846800","1884170","","","",
"Isle of Man","IMN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1226440","1281480","1313710","1345440","1391780","1457390","1509060","1567730","1601880","1678280","1717560","1741320","1763940","1808910","1894780","1969680","2065570","2209240","2309340","2452660","2564130","2671200","2814000","2875980","3048790","3063650","3103110","3229920","3374990","","","",
"Not classified","INX","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56570","57140","57350","58000","59480","60320","61800","63310","66710","68260","71230","73480","72740","73030","72260","73470","74450","72820","71770","66400","65040","60650","62310","61380","61540","63350","65880","65250","65090","","","",
"Iran, Islamic Rep.","IRN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","260940","301280","322250","320540","353080","370290","384500","401980","410080","447910","466760","483520","508200","537500","574430","613270","661390","699780","713330","737580","743550","750700","761050","781950","794190","786500","795970","814730","828280","","","",
"Iraq","IRQ","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78780","58430","80130","103130","114160","110130","111880","130430","96880","80280","90630","102140","97860","86970","90980","105140","101370","95530","105020","128300","141410","153590","175600","186900","193680","185770","197300","200790","215690","","","",
"Iceland","ISL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3360","3240","3040","3000","3080","3020","3280","3260","3400","3380","3420","3300","3350","3320","3400","3360","3830","3840","3730","3390","3260","3070","3060","3220","3290","3330","3300","3420","3440","","","",
"Israel","ISR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43980","45060","47840","51900","55230","59060","62160","65180","66550","68740","73610","73510","75520","76350","77440","76100","80420","83610","84290","83870","89320","89590","96710","88550","87150","89510","89420","91060","87830","","","",
"Italy","ITA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","491250","488850","485620","479320","474030","499020","495260","499040","510330","517560","522470","520660","528940","547470","558590","559870","547470","540720","525850","476970","485460","474590","456710","424930","405240","416150","411450","405770","399600","","","",
"Jamaica","JAM","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9030","9020","9820","10010","10050","10360","10700","10840","11390","11670","11780","11810","11980","12410","12320","12280","13480","13400","11000","9260","8860","9010","8570","9050","8890","8780","9230","8690","10020","","","",
"Jordan","JOR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18670","19140","21890","22630","23710","23340","22570","22070","21280","20340","20900","21030","21840","22430","23930","25440","26180","27630","26890","27570","27430","28550","32120","32420","34680","34970","35070","36740","35810","","","",
"Japan","JPN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1185030","1199520","1212810","1205290","1262490","1277530","1291660","1279530","1232410","1258050","1274300","1251440","1283110","1290880","1282760","1283820","1261900","1297980","1231180","1171570","1228240","1284770","1327040","1338630","1300990","1265070","1257730","1235370","1186770","","","",
"Kazakhstan","KAZ","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","309010","319040","319880","278250","253280","221600","193460","165450","164910","148830","148040","148590","165640","176830","193870","206300","227660","235720","282130","251220","277300","294130","294140","307440","258090","259340","274520","283580","274220","","","",
"Kenya","KEN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38490","37250","37250","37050","37310","37650","37190","37110","38560","40730","39680","39200","40100","41070","43690","44060","44530","61330","62660","63080","64700","67080","66430","68440","71370","73990","79550","76750","78830","","","",
"Kyrgyz Republic","KGZ","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32650","30390","22730","17880","12700","10010","10950","10830","11040","9700","9660","9070","10030","10670","10820","10500","10610","11860","13030","12660","12330","13750","16340","15870","16410","16960","16510","16240","18120","","","",
"Cambodia","KHM","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17280","17100","17750","18680","17600","19770","20100","20280","20340","21540","20450","20540","21070","22650","22600","24070","25640","26740","27310","28710","29060","30580","30310","30600","31550","33720","35390","37840","37460","","","",
"Kiribati","KIR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","50","40","50","50","50","50","50","50","50","60","70","80","90","100","80","90","80","80","80","80","90","90","90","100","100","110","","","",
"St. Kitts and Nevis","KNA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190","190","230","220","230","240","240","250","270","270","280","300","320","320","330","320","330","350","350","810","350","370","450","330","340","350","350","350","370","","","",
"Korea, Rep.","KOR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","286680","312020","336580","367440","395040","427420","455360","481200","416390","454250","511790","528550","521370","529250","553340","548760","557070","565860","579950","593600","646420","670790","675290","675000","664250","685800","696930","710340","718880","","","",
"Kuwait","KWT","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32070","38760","26350","32990","37830","38240","37810","39300","45530","49780","53600","57500","60450","63030","67170","75260","78270","77930","82730","85480","89240","93590","97460","100560","100320","106220","109840","111460","112970","","","",
"Latin America & Caribbean (excluding high income)","LAC","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","2242642.434751","1854872.276213","2104930.552215","1975186.682012","2105675.010707","2283219.13989","2529607.877592","2268779.754158","2518118.013697","2661693.242812","2780626.042646","2667494.009622","2789241.341492","2774582.290195","2525278.181109","2605523.283754","2724823.927113","3017113.832884","2833658.026768","2872863.959388","1645250","1688880","1716120","1754260","1815650","1833870","1889010","1962080","2024300","2021570","2067420","2100010","2134710","2200060","2277910","2325060","2371870","2451660","2502860","2469210","2582820","2638940","2681340","2727860","2768670","2787040","2786660","2786110","2768270","","","",
"Lao PDR","LAO","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7860","7720","7970","7940","8240","8240","8210","8400","7920","7740","8070","8400","8690","8910","9350","9290","9660","10180","10570","11410","12360","12120","13110","13810","14480","19020","26150","29200","29270","","","",
"Lebanon","LBN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7220","8710","8770","12150","13110","15370","16400","18610","18950","19930","18770","20090","20070","20750","21300","20730","19800","18780","22530","25970","25060","25760","28360","28350","30310","32660","33790","35600","34350","","","",
"Liberia","LBR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3600","3330","3200","3040","2870","2720","2840","3020","3190","3220","3380","3490","3570","3710","3880","4070","4280","4420","4500","4900","5060","5820","6560","7130","8110","8910","9080","9020","9200","","","",
"Libya","LBY","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105320","102720","99770","100490","105690","107570","109810","109570","111010","109460","111300","115370","120150","123420","127320","133590","134750","132520","138420","141570","145810","115160","117930","109150","102270","84880","86620","96580","103040","","","",
